Row,Status,Key Abstractions,Domain,Integration Point,Vault Note
3,Researched,2026 01 Probing Jet Base M87 Supermassive.,General,general,2026-01-probing-jet-base-m87-supermassive
17,Researched,Astronomers found a black hole growing way too fast.,Astrophysics,fractal_universe.py,astronomers-found-a-black-hole-growing-way-too-fast
20,Researched,Astronomers just revealed a stunning new view of the Milky Way in radio colors.,Astrophysics,fractal_universe.py,astronomers-just-revealed-a-stunning-new-view-of-the-milky-way-in-radio-colors
33,Researched,2016193029363696054.,General,general,2016193029363696054
39,Researched,2016164402576175327.,General,general,2016164402576175327
73,Researched,The 2026 Time Series Toolkit 5 Foundation Models For Autonomous Forecasting.,Robotics,enhanced_simulator.py,the-2026-time-series-toolkit-5-foundation-models-for-autonomous-forecasting
74,Researched,Breaking Quantum Boundaries Atoms Defy Synchronization In Free Space.,Astrophysics,fractal_universe.py,breaking-quantum-boundaries-atoms-defy-synchronization-in-free-space
76,Researched,2312.00001.,Academic,general,231200001
101,Researched,Scientists Use Ultrafast Laser To Flip Materials Into A Different Electronic State.,Physics,fractal_universe.py,scientists-use-ultrafast-laser-to-flip-materials-into-a-different-electronic-sta
102,Researched,"Is Metaphysics Useful? | Psychology Today (link shared via Google, content inferred from title).",Physics,fractal_universe.py,is-metaphysics-useful-psychology-today-link-shared-via-google-content-inferred-f
103,Researched,"lukilabs/beautiful-mermaid (link shared via Google, content inferred from title).",General,general,lukilabsbeautifulmermaid-link-shared-via-google-content-inferred-from-title
104,Researched,Scientists Found A Platinum Alternative Hiding In Plain Sight.,Biology,general,scientists-found-a-platinum-alternative-hiding-in-plain-sight
105,Researched,Ai Assistance Coding Skills.,AI Architecture,lab_agent.py,ai-assistance-coding-skills
106,Researched,Artemis Ii The First Human Mission To The Moon In 54 Years Launches Soon With A Canadian On Board 273881.,Astrophysics,fractal_universe.py,artemis-ii-the-first-human-mission-to-the-moon-in-54-years-launches-soon-with-a-
107,Researched,29 177369 Satellites Detect Titanic 35Meter Waves In The Middle Of The Pacific Ls.,Physics,fractal_universe.py,29-177369-satellites-detect-titanic-35meter-waves-in-the-middle-of-the-pacific-l
108,Researched,Is Being Virtuous Good For You Or Just People Around You A Study Suggests Traits Like Compassion May Support Your Own Well Being 273641.,General,general,is-being-virtuous-good-for-you-or-just-people-around-you-a-study-suggests-traits
109,Researched,Curiosity Just Lit Up Mars Never Seen Side.,Astrophysics,fractal_universe.py,curiosity-just-lit-up-mars-never-seen-side
110,Researched,Unresolvable share.google link with no title context available.,General,general,unresolvable-sharegoogle-link-with-no-title-context-available
111,Researched,Einsteins Recoiling Slit Experiment Realized At The Quantum Limit.,Quantum Physics,fractal_universe.py,einsteins-recoiling-slit-experiment-realized-at-the-quantum-limit
112,Researched,"Project Genie (link shared via Google, content inferred from title).",General,general,project-genie-link-shared-via-google-content-inferred-from-title
113,Researched,Observation of a superfluid-to-insulator transition of bilayer excitons.,Quantum Physics,fractal_universe.py,observation-of-a-superfluidtoinsulator-transition-of-bilayer-excitons
114,Researched,2513267 The Universe May Be Hiding A Fundamentally Unknowable Quantum Secret.,Astrophysics,fractal_universe.py,2513267-the-universe-may-be-hiding-a-fundamentally-unknowable-quantum-secret
115,Researched,Dragon Jet Erupts From Baby Stars In Stunning New Jwst Image 82374.,Astrophysics,fractal_universe.py,dragon-jet-erupts-from-baby-stars-in-stunning-new-jwst-image-82374
116,Researched,X post: Source: X.,General,general,x-post-source-x
117,Researched,2026 01 Goldilocks Size Rhodium Clusters Advance.,Chemistry/Materials,enhanced_simulator.py,2026-01-goldilocks-size-rhodium-clusters-advance
118,Researched,2026 01 Gravitational Einstein Theory General.,Astrophysics,fractal_universe.py,2026-01-gravitational-einstein-theory-general
119,Researched,X post: Source: X.,General,general,x-post-source-x
120,Researched,X post: Source: X.,General,general,x-post-source-x
121,Researched,The Schroedinger Equation Just Turned 100 And Quantum Physicists Are Still.,Quantum Physics,fractal_universe.py,the-schroedinger-equation-just-turned-100-and-quantum-physicists-are-still
122,Researched,2026 01 Method Ultralight Dark Advanced Optical.,Physics,fractal_universe.py,2026-01-method-ultralight-dark-advanced-optical
123,Researched,Advancing regulatory variant effect prediction with AlphaGenome.,AI Architecture,lab_agent.py,advancing-regulatory-variant-effect-prediction-with-alphagenome
124,Researched,2026 01 Atomic Quantum Fluid Motion Experimental.,Quantum Physics,fractal_universe.py,2026-01-atomic-quantum-fluid-motion-experimental
125,Researched,A Cosmic Anomaly Suggests We Need To Rethink The Shape Of Our Universe 23594.,Astrophysics,fractal_universe.py,a-cosmic-anomaly-suggests-we-need-to-rethink-the-shape-of-our-universe-23594
126,Researched,Bandwidth-tuned Mott transition and superconductivity in moiré WSe2.,Quantum Physics,fractal_universe.py,bandwidthtuned-mott-transition-and-superconductivity-in-moiré-wse2
127,Researched,Illustris.,Simulation,enhanced_simulator.py,illustris
128,Researched,SpaceEngine.,Astrophysics,fractal_universe.py,spaceengine
129,Researched,New Cosmological Simulations Shed Light on Growth of Black Holes in Early Universe.,Astrophysics,fractal_universe.py,new-cosmological-simulations-shed-light-on-growth-of-black-holes-in-early-univer
130,Researched,Unresolvable share.google link with no title context available.,General,general,unresolvable-sharegoogle-link-with-no-title-context-available
131,Researched,Unresolvable share.google link with no title context available.,General,general,unresolvable-sharegoogle-link-with-no-title-context-available
132,Researched,IllustrisTNG.,Simulation,enhanced_simulator.py,illustristng
133,Researched,IllustrisTNG.,Simulation,enhanced_simulator.py,illustristng
134,Researched,Modeling Universe Vogelsberger Illustristng 0131.,Astrophysics,fractal_universe.py,modeling-universe-vogelsberger-illustristng-0131
135,Researched,2025 03 Quantum Genesis Emergence Flat Universe.,Astrophysics,fractal_universe.py,2025-03-quantum-genesis-emergence-flat-universe
136,Researched,Chiral higher-spin theories from twistor space.,Astrophysics,fractal_universe.py,chiral-higherspin-theories-from-twistor-space
137,Researched,2026 01 Laser Flips Ferromagnet Polarity Material.,Physics,fractal_universe.py,2026-01-laser-flips-ferromagnet-polarity-material
138,Researched,Stephen Wolfram Computation Is The Universes Os.,Astrophysics,fractal_universe.py,stephen-wolfram-computation-is-the-universes-os
