commit	kernel	geomean_us	status	description
baseline	moe-mxfp4	155.2	keep	Phase 10: BYPASS=1 + KSPLIT=0 (fused_moe cktile)
baseline	mxfp4-mm	14.1	keep	Phase 16: HIP fused quant + gemm_a4w4 ASM
baseline	mixed-mla	72.0	keep	Phase 15: direct torch.ops.aiter + 3-regime routing
p18-exp1	moe-mxfp4	155.0	discard	Phase 18: torch.compile(fused_moe) — falls back to eager, no gain
p18-exp2	moe-mxfp4	155.0	discard	Phase 18: adaptive KSPLIT (256E→4, 32E→2) — identical to BYPASS=1
p18-exp3	moe-mxfp4	0.0	crash	Phase 18: expert_mask=bincount — GPU memory fault (uint32 overflow)
p18-exp4	moe-mxfp4	155.0	discard	Phase 18: custom CK dispatch — fp8_e8m0 rejected, fallback to fused_moe
dfac8b6d	moe-mxfp4	0.0	crash	Set AITER_JIT_DIR to pre-cache JIT modules — FAILED: > ❌ Running tests failed (internal error 1); exited with error code **1** after 39.83 seconds.; [ait
exp1	moe-mxfp4	0.0	crash	Set AITER_JIT_DIR to pre-cache JIT modules — FAILED: > ❌ Running tests failed (internal error 1); exited with error code **1** after 39.33 seconds.; [ait
exp2	moe-mxfp4	0.0	parse_error	Remove AITER_USE_NT=1 (L2 cache may help MoE weight reuse) — could not extract geomean
exp3	moe-mxfp4	0.0	parse_error	Unified KSPLIT=2 for all shapes (skip per-shape routing overhead) — could not extract geomean
exp4	moe-mxfp4	0.0	parse_error	Probe aiter for undiscovered env vars via inspect.getsource — could not extract geomean
exp1	mxfp4-mm	0.0	crash	Baseline: dynamic_mxfp4_quant + gemm_a4w4 (Phase 16 best) — FAILED: > ❌ Running tests failed (internal error 1); exited with error code **1** after 5.21 seconds.; Asser
exp2	mxfp4-mm	0.0	crash	Skip A shuffle — pass unshufffled A with bpreshuffle=False — FAILED: > ❌ Running tests failed (internal error 1); exited with error code **1** after 27.76 seconds.; Runt
exp3	mxfp4-mm	0.0	crash	Use ref_kernel quant path (get_triton_quant) + gemm_a4w4 for comparison — FAILED: ERROR at (0, 0): 166.0 163.0; ERROR at (0, 1): 24.5 26.0; ERROR at (0, 2): -106.5 -105.0
exp1	mxfp4-mm	0.0	parse_error	dynamic_mxfp4_quant + e8m0_shuffle + gemm_a4w4 (correct calling convention) — could not extract geomean
exp2	mxfp4-mm	0.0	parse_error	ref_kernel delegate baseline (guaranteed correct, measure reference speed) — could not extract geomean
exp3	mxfp4-mm	0.0	parse_error	dynamic_mxfp4_quant + gemm_a4w4 with shape-specific buffer caching — could not extract geomean
exp4	mxfp4-mm	0.0	parse_error	Probe: inspect gemm_a4w4 internals for split-K or config override — could not extract geomean
manual	mxfp4-mm	22.69	discard	dynamic_mxfp4_quant + e8m0_shuffle + gemm_a4w4 (manual bench, 1.61x slower than ref_kernel)
leaderboard	mxfp4-mm	24.3	keep	dynamic_mxfp4_quant + e8m0_shuffle + gemm_a4w4 (ranked, leaderboard submitted)
benchmark	mixed-mla	69.5	keep	Phase 15 three-regime restored (benchmark geomean)
ranked	mixed-mla	72.3	keep	Phase 15 three-regime (ranked leaderboard submission)
5234474d	mixed-mla	67.84	keep	fast_mode=False metadata (different work distribution, may improve ASM dispatch)
exp2	mixed-mla	69.96	discard	Wider matmul threshold: bs<=8 OR total_kv<=49152 (capture bs=32,kv=1k in matmul)
exp3	mixed-mla	70.13	discard	Lower A16W8 threshold to 131072 (force a8w8 earlier for bandwidth savings)
exp4	mixed-mla	68.62	discard	Aggressive split schedule: 2x splits per tier (2/8/16/32/64 vs 1/4/8/16/32)
claude-s2	moe-mxfp4	191.6	discard	KSPLIT=0 with BYPASS_TUNE_CONFIG=1 — CSV bypass loses per-shape tuning, 7.4% worse
claude-s2	moe-mxfp4	178.2	discard	USE_NT=1 (no bypass) — identical to baseline, CSV already optimal for NT selection
claude-s2	moe-mxfp4	0.0	crash	Custom Triton v2 — IndexError: scale dimension mismatch in dequant
claude-s2	moe-mxfp4	0.0	crash	Custom Triton v3 — IndexError: stride(2) on 2D scale tensor
claude-s2	mxfp4-mm	22.8	keep	dynamic_mxfp4_quant + gemm_a4w4 (fresh benchmark, test 4/4 passed)
claude-s2	mxfp4-mm	0.0	crash	gemm_a4w4 with log2_ks=2 — RuntimeError: Unknown keyword argument
claude-s2	mixed-mla	86.2	keep	ASM submission benchmark (8 shapes, new bs=64/256 shapes added)
claude-s2	mixed-mla	86.8	discard	ASM + expanded splits table (bs=64/256) — no improvement
claude-s2	mxfp4-mm	0.0	crash	gemm_a4w4_asm with auto kernel name — 27893 mismatched elements (wrong kernel selection)
ranked	mixed-mla	90.1	keep	ASM submission ranked (8 shapes, leaderboard submitted 2026-03-21 00:15)
claude-s2	moe-mxfp4	217.9	discard	OPUS sorting (dispatch_policy=1) — 19.3% worse, kills 257E and large shapes
ranked	moe-mxfp4	186.0	keep	USE_NT=1 ranked (leaderboard submitted 2026-03-21 00:45)
ranked	mxfp4-mm	24.4	keep	dynamic_mxfp4_quant + gemm_a4w4 ranked (leaderboard submitted 2026-03-21 00:38)
claude-s3	moe-mxfp4	182.2	discard	OPUS env var (AITER_USE_OPUS_MOE_SORTING=1) — 2.3% worse, env var ignored by sorting
claude-s3	moe-mxfp4	0.0	crash	block_size_M=64 — GPU memory access fault (tile config mismatch with CSV tuning)
claude-s3	moe-mxfp4	182.4	discard	Conditional KSPLIT=4 for 257E+ (no bypass) — CSV overrides env var, identical to baseline
claude-s3	mixed-mla	86.2	discard	Remove BYPASS_TUNE_CONFIG — no effect (ASM kernels don't use CSV tuning)
claude-s3	mixed-mla	86.6	discard	Remove USE_NT — no effect (NT is MoE/GEMM specific, not used by ASM MLA)
claude-s3	mixed-mla	88.2	discard	kv_granularity=32 (up from 16) — 2.3% worse, coarser scheduling hurts small batches
claude-s3	mxfp4-mm	0.0	crash	Skip e8m0_shuffle on A scale — 4/4 tests fail, shuffle required for gemm_a4w4+bpreshuffle=True
claude-s3	mxfp4-mm	0.0	crash	bpreshuffle=False with raw B_q — 4/4 tests fail, scale/weight layout mismatch
claude-s3	mixed-mla	86.3	discard	kv_granularity=8 (down from 16) — no effect, metadata gen not the bottleneck
claude-s3	moe-mxfp4	0.0	probe	CSV probe: dsv3_fp4_tuned_fmoe.csv has 257E shapes only; 33E uses default path
claude-s3	mixed-mla	95.8	discard	Halved num_kv_splits — 11.2% worse, bs=4 shapes need high parallelism
